TwitterID	Tweet	Retweets	Replies	Likes	Quotes	Identifier
JoeBiden	Democrats will protect Social Security.We’ll protect Medicare.  Republicans like Rick Scott and Ron Johnson want to put it on the chopping block.	5864	6438	20581	426	3816
JoeBiden	With Election Day right around the corner, I’m heading to Florida to get out the vote for Democrats up and down the ballot. RSVP today to join.	928	1892	4222	118	284
JoeBiden	If we elect more Senate Democrats and keep control of the House, we’re going to codify Roe v Wade in January.	3492	6445	14307	446	3409
JoeBiden	If we elect more Democrats to the Senate and keep the House, here is the promise I make to you and the American people: The first bill that I will send to Congress will be to codify Roe v. Wade.	6621	8299	28762	790	3410
JoeBiden	The previous president made a string of broken promises in places like Wisconsin, Indiana, and Ohio, where promised investments and jobs in manufacturing never materialized, but layoffs and shuttered factories did. Now, Made in America isn't just a slogan. It's a reality.	5213	6966	19651	341	285
JoeBiden	The final say on Roe v. Wade does not rest in the court. It does not rest with extremist Republicans in Congress.If you do your part and vote, Democratic leaders in Congress will do their part. I’ll do my part. With your support, I will sign a law codifying Roe in January.	8974	9497	35417	789	3411
JoeBiden	Republicans are determined to hold the economy hostage. Either give in to their demands to cut Social Security and Medicare, which millions of Americans rely on, or they’ll crash the economy. Let me be clear: I will not cut Social Security and Medicare.	7108	7288	23520	476	3817
TTuberville	RT @yhn: Alabama’s junior senator reiterated his support for Trump, saying he was “100%” behind his candidacy.	14	0	0	0	286
TTuberville	RT @jgray78: “You know what you’re getting with President Trump,” @TTuberville said. “He doesn’t have to learn the ropes. He knows the rope…	43	0	0	0	6269
TTuberville	RT @alexbruesewitz: Thank you Senator @TTuberville! You’re on the right team 🇺🇸	198	0	0	0	6270
TTuberville	"RT @MAGAIncWarRoom: .@TTuberville says he is ""100 percent"" behind President Trump's 2024 run."	363	0	0	0	6271
TTuberville	He’s the leader America needs in 2024. That’s why I’m proud to endorse Donald J. Trump for President of the United States!	1822	827	9929	108	287
TTuberville	"RT @cnsnews: .@SenTuberville says Joe Biden has ""no"" authority to forgive student loan debts, adding it's ""not constitutional."""	17	0	0	0	6272
TTuberville	RT @SenTuberville: The success of @NASA’s Artemis I mission is a direct result of the tireless efforts of thousands of Alabamians. Their co…	11	0	0	0	5303
TTuberville	Congratulations to my good friend @RepLedbetter on being elected Alabama Speaker of the House! #alpolitics	11	11	45	0	288
TTuberville	RT @SenTuberville: Great to welcome Army to The Vet for today’s Military Appreciation Game.	11	0	0	0	5304
TTuberville	RT @SenTuberville: Honored to join Mr. Frank Clark, a WWII veteran, for the coin toss at Troy vs Army. Great way to spend Veterans Day week…	7	0	0	0	1
TTuberville	RT @yhn: U.S. Sen. Tommy Tuberville (R-Auburn) announced Thursday the departure of Stephen Boyd as chief of staff, who will exit the office…	6	0	0	0	289
TTuberville	Congratulations to @KatieBrittforAL! I’m excited to work with her for the great state of Alabama and the United States of America!	20	12	256	1	290
TTuberville	RT @FMTalk1065pods: U.S. Senator Tommy Tuberville - Jeff Poor Show - Tuesday 11-08-22  via @Audioboom	5	0	0	0	291
TTuberville	RT @GOPChairwoman: Can’t wait until this Dream Team is in the U.S. Senate! Let’s do this! @DrOz, @HerschelWalker, @JDVance1, @AdamLaxalt,…	882	0	0	0	5305
TTuberville	RT @VoteMarsha: Alabama, send an absolute fireball to the U.S. Senate. @KatieBrittforAL is going to do a great job working with @TTubervil…	10	0	0	0	292
TTuberville	RT @ClayTravis: Joy Reid says people didn’t know the word inflation until Republicans taught it to them. The left wing insanity keeps growi…	677	0	0	0	3818
TTuberville	RT @RNCResearch: Biden just wrapped up a primetime speech six days before the election. Here are the number of times he mentioned…Border:…	16702	0	0	0	6273
TTuberville	RT @bgmasters: I believe in helping our Border Patrol — that’s why our Border Patrol agents support me. Mark Kelly believes in helping th…	674	0	0	0	5306
TTuberville	RT @VoteMarsha: Great to be with my friend @willainsworthAL supporting Alabama’s next United States Senator @KatieBrittforAL. #RedWave	18	0	0	0	293
TTuberville	RT @rachlepp: What a crowd for @KatieBrittforAL and @VoteMarsha in Madison, AL on a Monday morning. It’s GOTV folks! 8 days until we take b…	14	0	0	0	294
TTuberville	RT @JakeCrain_: Great talk with @TTuberville on NIL, Transfer Portal and AuburnLINK:	4	0	0	0	5307
TTuberville	I was born in Arkansas, @Boozman4AR…but Auburn is home. WAR EAGLE!	3	9	52	4	295
TTuberville	RT @DylanSmithAL: “So all of these people when they cross, they’re going to Alabama … they’re going throughout the entire United States,” N…	7	0	0	0	296
TTuberville	RT @yhn: U.S. Sen. Tommy Tuberville has criticized the president for not showing true leadership when it comes to the issue of defending Ta…	3	0	0	0	297
TTuberville	RT @justin_lovvorn: Enjoyed meeting with and talking to Senator Tuberville today during his visit to Greenville. We received an update on h…	8	0	0	0	6274
TTuberville	RT @rickandbubba: We asked Senator Tommy Tuberville about how things look from the inside of D.C. and how fit Biden is to lead the country.…	8	0	0	0	298
TTuberville	RT @ClayTravis: Vince Dooley making the closing argument for Herschel. Just a hunch, I think this ad will probably do pretty well in Georgi…	1892	0	0	0	6275
TTuberville	RT @1819News: Biden signs Tuberville bill to increase life insurance for military service members to $500,000	6	0	0	0	299
TTuberville	RT @DylanSmithAL: .@SenTuberville offers his first response on comments he made during a Sept. 8 Trump rally, which sparked outcry and fals…	9	0	0	0	6276
TTuberville	RT @wsfa12news: Sen. Tommy Tuberville’s ‘Supporting Families of the Fallen’ Act signed into law #alpolitics	8	0	0	0	6277
TTuberville	RT @RNCResearch: HERSCHEL WALKER: Warnock “said he was going to Washington to represent Georgia. He went to Washington to represent Joe Bid…	781	0	0	0	300
TTuberville	RT @RNCResearch: 🔥🔥🔥 @HerschelWalker got Warnock a “Team Biden” jersey for voting with Biden 96% of the time!	573	0	0	0	6278
TTuberville	RT @MarshaBlackburn: DHS Secretary Alejandro Mayorkas stood at the White House podium and attacked our brave men and women in the Border Pa…	1881	0	0	0	5308
TTuberville	Fantastic night in Nevada supporting @AdamLaxalt! It is imperative we take back the senate! Can you help out today?	16	1050	69	30	301
TTuberville	"RT @RSBNetwork: Tommy Tuberville speaks at the Save America Trump rally in Minden, NV ""We're going to make Joe Biden open the spigots and g…"	456	0	0	0	302
TTuberville	The @BCAToday hosted a great event for a great American. What @SenShelby has done for the state of Alabama will span generations.	6	135	42	5	303
TTuberville	RT @clayandbuck: .@SenTuberville is bringing the fight to protect Title IX from the Democrats to Washington.   For the full conversation,…	9	0	0	0	304
TTuberville	RT @BuckSexton: Senator Tuberville Defends Women Against Biden’s Title IX Attack	41	0	0	0	6279
TTuberville	RT @SenTuberville: I’m joining the @clayandbuck show NOW to discuss name, image, and likeness in college sports. Tune in here👇🏼	3	0	0	0	6280
TTuberville	We live in a world where people are attacked for defending faith and family and having pride in their own nation.Italy’s new PM Giorgia Meloni appears to be the next target of the Socialists for these very reasons. The Italian people have had enough. Have we? #Midterms	21	50	93	1	305
TTuberville	This Administration knows exactly what’s happening at our southern border and they simply DO NOT CARE.	11	28	45	0	5309
TTuberville	The U.S Senate race here in Alabama is heating up. I am proud to stand with America First Warrior Katie Britt in this race. Victory in this race will bring us one step closer to taking back the Senate this November! Show your support today!	12	33	66	1	306
TTuberville	RT @yhn: Tuberville: ‘We’re in trouble’ if Democrats stay in power	10	0	0	0	307
TTuberville	RT @SenTuberville: These guys are on the frontlines of the catastrophe that the Biden administration has created at our southern border. Ou…	11	0	0	0	6281
TTuberville	RT @RuthlessPodcast: To kick off football season, we sat down with former Auburn head coach and current U.S. Sen Tommy Tuberville to discus…	6	0	0	0	308
TTuberville	RT @marcorubio: Val Demings would be the most liberal Senator from Florida EVERBut she isn’t just liberal, she is dangerously radical htt…	269	0	0	0	309
TTuberville	"RT @em__vaughn: Brutal numbers ahead of Biden and Democrats' ""celebration"" today: 📈August CPI soars by 8.3%📈Grocery prices up 13.5%📈Cor…"	1098	0	0	0	3819
TTuberville	RT @RuthlessPodcast: 🔥 NEW EPISODE 🔥Fellas discuss out of control taxes, polling problems and Dem debate dodgers. @SenTuberville from Ala…	15	0	0	0	3820
TTuberville	RT @TeamCavuto: TOMORROW ON COAST TO COAST: Alabama Senator @TTuberville Former OMB Director @russvought	5	0	0	0	310
TTuberville	God bless the families of these American heroes from the great state of Alabama. #NeverForget	6	7	54	0	311
TTuberville	RT @TTuberville: .@SecYellen can’t talk about inflation, falling wages, or doing her actual job.She wants to focus on fairytales of the f…	15	0	0	0	6282
TTuberville	RT @TommyPigott: Ohio Democrat Tim Ryan is a fraud. In a new interview, he refused to endorse Joe Biden for 2024, but when push comes to…	152	0	0	0	312
TTuberville	.@SecYellen can’t talk about inflation, falling wages, or doing her actual job.She wants to focus on fairytales of the future…because the Biden Administration is incapable of solving today’s problems. Complete incompetence.	15	21	102	3	5310
TTuberville	RT @tedcruz: 4.2 million illegal immigrants have streamed across the border. Joe Biden is paying his press secretary to lie about the fac…	675	0	0	0	6283
TTuberville	Imagine if this same thing happened but it benefited Republicans. It would be the lead for every news station in America. Instead it’s fine thst this occurred as long as Democrats benefited from it.	9	9	32	0	313
TTuberville	RT @MontgomeryGOP: The Mighty Alabama Strike Force is recruiting volunteers to travel to Georgia in October to knock on doors for Herschel…	8	0	0	0	314
TTuberville	RT @rickandbubba: We asked Tommy Tuberville, What's Harder? Being a Coach or Senator? @TTuberville @rickandbubba	4	0	0	0	6284
TTuberville	Tell me again that Big Tech cannot turn the dials however they see fit? We know so little about the censorship from Twitter, Facebook, and Google yet they are more powerful then tv and newspapers. If tomorrow Mark Zuckerberg runs for President guess which dial he will turn?	18	15	103	2	5311
TTuberville	"RT @FOX6Hardison: ""We just want to save college athletics"" says @TTuberville to me today on his potential bipartisan NIL bill w/@Sen_JoeMan…"	8	0	0	0	6285
TTuberville	With the economy heading straight into a recession @POTUS has decided to take tax dollars from everyday Americans and forgive student loans.It’s clear this is a last ditch effort for the Democrats to keep the house and senate in the midterms. But it’s not going to work.	16	54	106	3	3821
TTuberville	RT @yhn: Hoover City Councilman Mike Shaw: Sen. Tuberville fighting for Alabamians’ financial freedoms	4	0	0	0	6286
TTuberville	RT @TTuberville: The CBO disagrees. Americans earning less than $400k a year are estimated to pay an additional $20 BILLION in new taxes.…	57	0	0	0	3822
TTuberville	“Tuberville, who recently introduced the “Securing America’s Land from Foreign Interference Act” with Sen. Tom Cotton, R-Ark., called for an end to China’s ability to purchase U.S. land because it poses a national security threat.”	13	5	49	0	315
TTuberville	"RT @RNCResearch: Fox News' @BretBaier: ""Multiple now nonpartisan experts say [the Biden Tax Hikes] would raise taxes on NEARLY ALL American…"	202	0	0	0	3823
TTuberville	The CBO disagrees. Americans earning less than $400k a year are estimated to pay an additional $20 BILLION in new taxes. This Administration just lies…and the media covers for them. Every time.	57	247	196	19	3824
TTuberville	RT @TTuberville: The Deep state has reached a new low today by raiding a former president’s home.This is a step too far when politics tur…	120	0	0	0	6287
TTuberville	The Deep state has reached a new low today by raiding a former president’s home.This is a step too far when politics turns into a personal war against a large part of the American people.	120	323	1009	21	3825
TTuberville	RT @thehill: GOP targets vulnerable Democrats with tough votes in vote-a-rama	11	0	0	0	3826
TTuberville	RT @yhn: U.S. Senate passes @SenTuberville legislation to streamline post-9/11 GI Bill benefits  #alpoliticsBy @DylanSmithAL	8	0	0	0	5312
TTuberville	RT @jeff_poor: Tuberville says Saban has called him, Manchin 'several times' with NIL concerns  #alpolitics #RollTide	5	0	0	0	6288
TTuberville	RT @finebaum: A bipartisan effort in the US Senate launched today to investigate how the federal government might go about putting national…	10	0	0	0	5313
TTuberville	RT @IowaStandard: Cotton, Tuberville Introduce Bill to Prohibit the Chinese Communist Party from Purchasing American Land	16	0	0	0	316
TTuberville	RT @SenTuberville: IN THE NEWS: Tommy Tuberville pushing for federal laws regulating #NIL	5	0	0	0	6289
TTuberville	RT @yhn: Tuberville, Manchin to partner on NIL legislation with insight from Nick Saban  #alpoliticsBy @DylanSmithAL	4	0	0	0	317
TTuberville	RT @Ourand_SBJ: US Sens Tuberville and Manchin today asked for comments from ADs, college administrators, associations and student-athlete…	2	0	0	0	318
SenShelby	RT @IanWVTM13: A fascinating and wide-ranging conversation with retiring @SenShelby in Washington, DC earlier this fall. Covered a lot of g…	3	0	0	0	319
SenShelby	My sincere thanks to the Aviation Council of Alabama for travelling to Washington to present me with this resolution. I've been fortunate in my career to help secure a number of aviation investments in AL, providing our state with the necessary tools for greater economic success.	2	4	5	1	320
SenShelby	It's a great day for @NASA and a great day for space exploration! Congratulations to all of those who have worked on the Artemis program. Today, we made history. I’m proud of the major role that Alabama played in this monumental success.	8	3	17	0	321
SenShelby	Happy 60th anniversary to @CRPHSV! As the second largest research park in the U.S. and fourth largest in the world, Cummings Research Park is an impressive &amp; competitive home base for researchers and innovators. Good things are happening in Huntsville, especially throughout CRP.	5	6	21	0	322
SenShelby	Today we proudly celebrate 247 years of the U.S. Marine Corps. Our Marines are unwavering in their loyalty and duty to our country. I have the utmost appreciation and respect for the brave men and women of the USMC and the many ways they protect our homeland. Thank you, @USMC!	4	6	22	1	3827
SenShelby	The importance of exercising your right to vote on #ElectionDay cannot be overstated. The future of Alabama and our nation is on the line. I encourage everyone to head to the polls and cast your ballot. Today is the day!	6	6	27	0	323
SenShelby	Annette and I were very sad to learn of the passing of our close friend, Honey Alexander. Our deepest condolences go out to Lamar and his entire family. Honey will long be remembered for her charm, grace, and public service. She will be missed by all who knew her.	1	9	24	1	6290
SenShelby	The Port’s rise is attributable to everyone who has been involved in promoting its growth and the many ways it benefits Alabama. This is just the beginning.	1	7	3	0	324
SenShelby	I have long known that Alabama’s largest port could have a pivotal impact on the growth of our state. Throughout my career, I’ve focused on projects that aim to position Alabama for long-term success, and the Port has been one of those priorities.	1	6	3	0	325
SenShelby	These results are cause for celebration throughout Alabama. The impact that the Port of Mobile has already had on Alabama’s economy is remarkable. I am proud to witness this great news and believe these numbers will continue to improve.	1	4	1	0	326
SenShelby	A new study reveals the Port of Mobile’s critical impact on the entire state of Alabama – including 300,000+ jobs and $85 billion in economic value.	2	16	6	1	327
SenShelby	.@ARCgov, an integral partner in promoting workforce development in AL, awarded @WallaceState a $1.17M POWER grant. I look forward to the many benefits expected to stem from this investment. A well-trained workforce is key to fueling our state’s economy.	1	10	11	0	328
SenShelby	Grateful to the City of Enterprise and Mayor Cooper for the proclamation regarding my career in public service. I’ve had the pleasure of representing the people of Enterprise in the Senate for the last 36 years. Thank you, Enterprise, for allowing me that high honor.	5	15	19	0	5314
SenShelby	Since President Biden took office in January 2021, inflation has risen 13.5%. Democrats are clearly in over their heads and unable to bring down costs. The American people are tired of overpaying for gas, groceries, utility bills, etc. It's unaffordable and unacceptable.	37	75	135	5	3828
SenShelby	For 247 years, we have benefitted immensely from the @USNavy. Our waterways are better protected, our military is stronger, and we are combat-ready thanks to our brave sailors. Thank you for your service and for keeping watch all these years!	8	19	49	0	5315
SenShelby	In April @NOAA awarded @UofAlabama a $360M award to establish a Cooperative Institute for Research to Operations in Hydrology. This program will address today’s most pressing water issues &amp; advance UA as a leader in the field. Enjoyed speaking with the group in Tuscaloosa! #CIROH	4	7	10	1	5316
SenShelby	Two small businesses in #Alabama have been named #DreamBig Award finalists by the @USChamber &amp; @GrowWithCO! Huntsville's @RedlineSteel is a finalist for the Veteran-Owned Business Award, &amp; Daleville's @StatusCo2 is a finalist for the Emerging Business Achievement Award. Congrats!	7	4	14	1	329
SenShelby	The Senate has passed a #ContinuingResolution ensuring the government will remain open and functioning. Now, with very little time remaining, we must complete the full year appropriations bills. 1/2	1	7	4	0	5317
SenShelby	Today I met with Jordanian Foreign Minister @AymanHsafadi. Jordan is a critical ally and valued partner to the United States. I appreciated our discussion on the importance of peace and prosperity in the Middle East.	5	11	21	0	330
SenShelby	We have made significant progress toward a CR that is as clean as possible. But, if the Democrats insist on including permitting reform, I will oppose it. Passing a clean CR will allow us to focus on completing the FY23 appropriations process before the end of this year.	5	29	21	6	3412
SenShelby	FAA has awarded a total of $3.69 million in grant funding for four airports in Alabama. These various improvements to safety and overall functionality will help enhance opportunities for growth and economic development. Great news! @FAANews	3	41	5	3	331
SenShelby	I am pleased to hear that Alex Drueke and Andy Huynh, the two men from Alabama who were captured in Ukraine, are expected to soon return home. Relieved that they are safe and look forward to them being back on U.S. soil.	8	11	25	2	332
SenShelby	Glad to hear of the Administration's intent to nominate Travis Hill as a Member and Vice Chair of the Board of Directors at @FDICgov. Travis served as Senior Counsel on the Senate Banking Committee during my tenure as Chairman. He is highly qualified to serve in this position.	3	6	5	0	5318
SenShelby	Pleased to see @RaytheonTech &amp; @LockheedMartin awarded $311 million to build 2,100 Javelin missiles in #Troy, Alabama. Nearly 1,800 of these missiles will replace the US draw down inventory from the Ukraine war, &amp; the remainder will support foreign allies.	1	7	4	0	333
SenShelby	It was a high honor to break ground on the U.S. Courthouse for the Northern District of Alabama this morning. The 123,000 square foot, state-of-the-art facility will be a landmark in #Huntsville and have a profound impact for generations to come. Thank you to everyone involved.	3	3	10	0	334
SenShelby	The Huntsville area is one of Alabama’s crown jewels, and I've worked diligently to secure the right conditions and resources for its success. Over the next few months, I'll continue to advocate for Huntsville and build upon its momentum. Thank you, again, @HuntsvilleALCOC!	1	2	5	0	335
SenShelby	Thank you, @HuntsvilleALCOC, for hosting me this morning as I delivered my final Washington update to this group of North Alabamians. It's been my honor to serve the people of North AL in the Senate for 36 years. I'm grateful for your generous support and consistent partnership.	1	5	15	0	336
SenShelby	Enjoyed meeting with Dr. Francis Collins this afternoon about his work at the National Human Genome Research Institute. A longtime friend &amp; brilliant scientist, Dr. Collins’ impact on biomedical research &amp; the health of our nation is immeasurable. I always appreciate our visits.	3	27	22	2	6291
SenShelby	Today I met with Sen. @Adolfo_Urso, President of COPASIR, the Italian parliament’s intelligence oversight committee. We discussed the importance of NATO and our response to Russia’s invasion of Ukraine. I appreciate his steadfast commitment to freedom at home and abroad.	5	55	35	1	337
SenShelby	Today’s CPI report contradicts what Democrats want Americans to believe. Inflation is not under control and the economy is not back on track. Grocery prices are up 13.5% from last year, gas prices are still too high, electricity costs more, and Dems are still spending recklessly.	5	19	26	2	3829
SenShelby	Queen Elizabeth II was a loyal and steadfast public servant who led with class, wisdom, and strength. Her 70-year reign will long be remembered as one of stability. May she rest in peace.	7	10	47	1	6292
SenShelby	Proud that FAA is continuing to invest in local and regional airports throughout our state. This $17.8M in grant funding stands to benefit several communities in Alabama, and I look forward to witnessing the growth and success of each of them. @FAANews	1	27	4	0	338
SenShelby	RT @NASA: The countdown clock is on a hold at T-40 minutes. The hydrogen team of the @NASA_SLS rocket is discussing plans with the #Artemis…	2707	0	0	0	5319
SenShelby	RT @NASA: LIVE NOW: The #Artemis era of exploration begins today with @NASAArtemis I, the first flight test of the rocket and spacecraft th…	5946	0	0	0	5320
SenShelby	Good news for Alabama drivers: @USDOTFHWA has awarded ALDOT $5M for a project that aims to reduce congestion in traffic before it begins. Advanced technologies &amp; decision support tools will be used on a portion of I-65 &amp; other roads near Cullman to improve management &amp; operation.	4	64	16	6	339
SenShelby	Particularly pleased that Huntsville has been awarded the funds to construct multiple pedestrian bridges that will soon provide greater access to businesses &amp; vital services located downtown. This project has been in the works for some time, &amp; I look forward to the final product.	3	11	12	0	340
SenShelby	The policies created in this legislation are not what Americans want, nor are they what Americans need. I am disappointed that my Senate Democratic colleagues supported this legislation knowing it fails the American people.	3	21	14	1	3830
SenShelby	This makes no sense. Right now, Congress should be focused on reducing costs and growing economic investment, not spending $80 billion to double the size and scope of the IRS and hundreds of billions of dollars to combat climate change.	5	25	21	1	5321
SenShelby	"The so-called ""Inflation Reduction Act"" will result in increased costs for hardworking Americans, further crushing families’ finances. Dems will spend hundred of billions to raise taxes &amp; swell the cost of living while Americans endure record-high inflation &amp; a declining economy."	41	291	172	15	3831
SenShelby	In an effort to unleash our own energy sources and lower infrastructure costs, my amendment to the Dems' tax &amp; spend bill would require the Secretary of @Interior to complete pending Lease by Application processes for both metallurgical and thermal coal.	8	14	23	0	5322
